STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
637080,99999, 19800420,   69.3, 4,   62.6, 4, 9999.9, 0, 9999.9, 0,  22.5, 4,   3.0, 4,   5.1, 999.9,   84.2 ,  64.4 , 0.08G,999.9, 000000,
637080,99999, 19800421,   68.4, 5,   63.3, 5, 9999.9, 0, 9999.9, 0,  21.1, 5,   9.6, 5,  20.0, 999.9,   77.0*,  64.4*, 0.00G,999.9, 010010,
637080,99999, 19800423,   74.7, 7,   64.9, 7, 9999.9, 0, 9999.9, 0,  24.4, 7,   4.4, 7,   9.9, 999.9,   84.2 ,  64.4 , 0.16G,999.9, 000000,
637080,99999, 19800424,   75.7, 4,   68.0, 4, 9999.9, 0, 9999.9, 0,  26.4, 4,   4.8, 4,   7.0, 999.9,   86.0 ,  64.4 , 0.00G,999.9, 000000,
637080,99999, 19800425,   67.6, 5,   64.4, 5, 9999.9, 0, 9999.9, 0,  18.0, 5,   3.6, 5,   6.0, 999.9,   86.0 ,  62.6 , 0.00G,999.9, 000010,
637080,99999, 19800428,   77.9, 4,   58.1, 4, 9999.9, 0, 9999.9, 0,  24.1, 4,   8.0, 4,   9.9, 999.9,   86.0*,  53.6 , 0.00G,999.9, 000000,
637080,99999, 19800429,   77.9, 6,   61.7, 6, 9999.9, 0, 9999.9, 0,  25.9, 6,   4.2, 6,   7.0, 999.9,   87.8 ,  59.0 , 0.00G,999.9, 000000,
637080,99999, 19800430,   73.1, 7,   63.9, 7, 9999.9, 0, 9999.9, 0,  23.5, 7,   6.1, 7,   9.9, 999.9,   86.0 ,  64.4 , 0.00G,999.9, 000010,
637080,99999, 19800505,   72.1, 4,   65.8, 4, 9999.9, 0, 9999.9, 0,  21.0, 4,   8.0, 4,  24.1, 999.9,   82.4 ,  66.2 , 0.16G,999.9, 000000,
637080,99999, 19800508,   70.2, 4,   63.5, 4, 9999.9, 0, 9999.9, 0,  21.7, 4,   3.5, 4,   7.0, 999.9,   82.4 ,  66.2 , 0.00G,999.9, 000010,
